Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Shavlik Randolph,,1.1,0.7,0.4,0.1,0,0,0,0
Ronald Dupree,83.4,1,0.5,0.3,0.1,0,0,NA,NA
Mark Hendrickson,81.2,0.9,0.8,0.3,0.1,NA,NA,NA,NA
James Michael McAdoo,80.4,1.1,0.8,0.5,0,NA,NA,NA,NA
Patrick McFarland,79.5,1.3,0.7,0.4,NA,NA,NA,NA,NA
Maceo Baston,78.8,1.1,0.5,0.4,0.3,NA,NA,NA,NA
Ben McDonald,77.8,1.3,0.7,0.3,0.2,NA,NA,NA,NA
Bo Ellis,76.8,1.1,0.9,0.5,NA,NA,NA,NA,NA
Tremaine Fowlkes,76.6,1.2,0.5,0.4,0,NA,NA,NA,NA
Josh Powell,75.8,1.1,0.7,0.6,0.3,0,0,-0.2,NA
Cal Bowdler,75.7,1,0.5,0.2,NA,NA,NA,NA,NA
