,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1977-78,22,PHO,NBA,,5,14,,,,,6,6,,,8,7,,,,6,16,
1978-79,23,PHO,NBA,,9,18,,,,,9,11,3,5,7,9,8,1,6,5,20,20.9
1979-80,24,PHO,NBA,,10,18,2,7,10,14,6,6,,,7,9,6,2,5,5,21,
1980-81,25,CLE,NBA,,8,17,4,,8,,7,9,,,8,12,,,,,23,
1981-82,26,SAS,NBA,,12,,4,,,,7,8,,,,,,,,,28,
1982-83,27,CHI,NBA,,5,8,1,,5,,4,4,2,4,4,5,2,0,2,5,10,7.9
1983-84,28,GSW,NBA,,7,15,4,6,6,13,7,9,3,5,6,9,6,2,5,5,23,17.9
1984-85,29,GSW,NBA,,7,14,1,3,7,13,6,6,2,4,4,8,4,1,6,6,19,13.9
1985-86,30,SAC,NBA,,5,8,1,2,5,6,3,4,1,4,4,5,2,0,2,5,10,10.1
Career,,,,,12,,,,,,9,11,,,,,,,,,28,
3 Seasons,,PHO,NBA,,10,18,,,10,,9,11,,,8,9,,,,6,21,
2 Seasons,,GSW,NBA,,7,15,4,6,7,13,7,9,3,5,6,9,6,2,6,6,23,17.9
1 Season,,SAS,NBA,,12,,4,,,,7,8,,,,,,,,,28,
1 Season,,CLE,NBA,,8,17,4,,8,,7,9,,,8,12,,,,,23,
1 Season,,SAC,NBA,,5,8,1,2,5,6,3,4,1,4,4,5,2,0,2,5,10,10.1
1 Season,,CHI,NBA,,5,8,1,,5,,4,4,2,4,4,5,2,0,2,5,10,7.9
