Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mike Bratz,,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1
John Crotty,86.9,2.4,2.1,1.9,1.3,1,0.8,0.3,0.1,-0.1
Haywoode Workman,86.3,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Anthony Bowie,84.8,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
Garrett Temple,84.4,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Randy Brown,83.8,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3,-0.8
Alonzo Gee,83.2,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Iman Shumpert,79.4,2.4,2,2,1.9,1.7,1.5,1.4,0,NA
Ledell Eackles,79.3,2.4,2.1,2,1.2,1,1,1,NA,NA
Marko Jarić,79.2,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA,NA
Nick Young,79.2,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
