Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Stan McKenzie,,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Jamario Moon,84.6,5.7,4.9,2.9,1.1,-0.3,NA,NA
Bob Lavoy,84.5,5.8,5.8,3.4,1,NA,NA,NA
Ed Ratleff,84.0,5.6,4.5,2.1,1,0.5,NA,NA
Howie Dallmar,82.0,7,5.9,2.2,NA,NA,NA,NA
Maurice Stokes,79.8,6,5.5,4.5,NA,NA,NA,NA
Dorell Wright,79.8,5.8,4.3,2.2,1.9,0.2,-0.1,-0.1
Josh McRoberts,79.7,6.5,4.9,2.2,1.5,1.4,0.4,0.1
DeMarre Carroll,78.9,7,5.8,3.1,1.2,0.5,0.5,0.1
Bones McKinney,78.9,7.1,4.9,3.3,0.2,0,-0.2,NA
Toby Knight,78.6,7.3,5.7,1.6,1.1,NA,NA,NA
