,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,BAL,NBA,,5,,6,7,,,,,,,,13
1968-69,24,PHO,NBA,,9,18,10,10,,,13,8,,,6,28
1969-70,25,PHO,NBA,,8,15,13,17,,,6,5,,,6,19
1970-71,26,POR,NBA,,9,20,17,19,,,9,7,,,6,27
1971-72,27,POR,NBA,,12,,11,12,,,,,,,,31
1972-73,28,TOT,NBA,,5,,7,9,,,,,,,,12
1972-73,28,POR,NBA,,3,9,7,9,,,7,2,,,6,11
1972-73,28,HOU,NBA,,5,,2,3,,,,,,,,12
1973-74,29,HOU,NBA,,3,,3,4,,,,,,,,9
Career,,,,,12,,17,19,,,,,,,,31
3 Seasons,,POR,NBA,,12,,17,19,,,,,,,,31
2 Seasons,,PHO,NBA,,9,18,13,17,,,13,8,,,6,28
1 Season,,BAL,NBA,,5,,6,7,,,,,,,,13
2 Seasons,,HOU,NBA,,5,,3,4,,,,,,,,12
