Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,BAL,NBA,SG,50,NA,653,73,182,0.401,58,88,0.659,NA,NA,121,24,NA,NA,98,204
1968-69,24,PHO,NBA,SF,80,NA,1569,264,618,0.427,219,287,0.763,NA,NA,251,123,NA,NA,191,747
1969-70,25,PHO,NBA,SF,58,NA,525,81,206,0.393,58,73,0.795,NA,NA,93,52,NA,NA,67,220
1970-71,26,POR,NBA,SF,82,NA,2290,398,902,0.441,331,396,0.836,NA,NA,309,235,NA,NA,238,1127
1971-72,27,POR,NBA,SF,82,NA,2036,410,834,0.492,315,379,0.831,NA,NA,272,148,NA,NA,240,1135
1972-73,28,TOT,NBA,SF-SG,33,NA,294,48,119,0.403,30,37,0.811,NA,NA,55,23,NA,NA,43,126
1972-73,28,POR,NBA,SG,7,NA,107,13,36,0.361,14,16,0.875,NA,NA,21,8,NA,NA,15,40
1972-73,28,HOU,NBA,SF,26,NA,187,35,83,0.422,16,21,0.762,NA,NA,34,15,NA,NA,28,86
1973-74,29,HOU,NBA,SG,11,NA,112,7,24,0.292,6,8,0.75,3,13,16,6,3,0,17,20
Career,NA,,NBA,,396,NA,7479,1281,2885,0.444,1017,1268,0.802,3,13,1117,611,3,0,894,3579
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,171,NA,4433,821,1772,0.463,660,791,0.834,NA,NA,602,391,NA,NA,493,2302
2 seasons,NA,PHO,NBA,,138,NA,2094,345,824,0.419,277,360,0.769,NA,NA,344,175,NA,NA,258,967
1 season,NA,BAL,NBA,,50,NA,653,73,182,0.401,58,88,0.659,NA,NA,121,24,NA,NA,98,204
2 seasons,NA,HOU,NBA,,37,NA,299,42,107,0.393,22,29,0.759,3,13,50,21,3,0,45,106
