Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1967-68,23,BAL,NBA,SG,50,653,7.8,0.462,0.484,NA,NA,NA,4.5,NA,NA,NA,0,0.5,0.6,0.043,NA,NA,NA,NA,NA
1968-69,24,PHO,NBA,SF,80,1569,12.9,0.502,0.464,NA,NA,NA,10.8,NA,NA,NA,2,0.4,2.4,0.073,NA,NA,NA,NA,NA
1969-70,25,PHO,NBA,SF,58,525,10.8,0.462,0.354,NA,NA,NA,12.8,NA,NA,NA,-0.1,0.2,0.1,0.01,NA,NA,NA,NA,NA
1970-71,26,POR,NBA,SF,82,2290,13.8,0.524,0.439,NA,NA,5.9,13.4,NA,NA,NA,3.6,1.7,5.3,0.111,NA,NA,NA,NA,NA
1971-72,27,POR,NBA,SF,82,2036,16,0.567,0.454,NA,NA,6.3,10.8,NA,NA,NA,5.7,0.4,6.1,0.143,NA,NA,NA,NA,NA
1972-73,28,TOT,NBA,SF-SG,33,294,11.4,0.466,0.311,NA,NA,8.9,10.1,NA,NA,NA,0.1,0.1,0.2,0.033,NA,NA,NA,NA,NA
1972-73,28,POR,NBA,SG,7,107,10.6,0.465,0.444,NA,NA,9.5,9.5,NA,NA,NA,0,0,0,0.022,NA,NA,NA,NA,NA
1972-73,28,HOU,NBA,SF,26,187,11.8,0.466,0.253,NA,NA,8.5,10.4,NA,NA,NA,0,0.1,0.2,0.04,NA,NA,NA,NA,NA
1973-74,29,HOU,NBA,SG,11,112,4,0.363,0.333,2.9,12.3,7.6,6.4,1.2,0,NA,-0.1,0,-0.1,-0.044,NA,-4.7,-0.5,-5.2,-0.1
Career,NA,,NBA,,396,7479,13.2,0.52,0.44,2.9,12.3,6.3,11.1,1.2,0,NA,11.1,3.4,14.5,0.093,NA,-4.7,-0.5,-5.2,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,171,4433,14.7,0.543,0.446,NA,NA,6.1,12.1,NA,NA,NA,9.3,2.1,11.4,0.123,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,138,2094,12.4,0.492,0.437,NA,NA,NA,11.3,NA,NA,NA,1.9,0.6,2.5,0.057,NA,NA,NA,NA,NA
1 season,NA,BAL,NBA,,50,653,7.8,0.462,0.484,NA,NA,NA,4.5,NA,NA,NA,0,0.5,0.6,0.043,NA,NA,NA,NA,NA
2 seasons,NA,HOU,NBA,,37,299,8.9,0.443,0.271,2.9,12.3,8.2,8.9,1.2,0,NA,-0.1,0.2,0.1,0.008,NA,-4.7,-0.5,-5.2,-0.1
