Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tony Smith,,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2
Rex Walters,81.8,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA
John Wetzel,75.2,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA
Dion Waiters,74.8,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA
Lee Mayberry,72.2,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA,NA
Will Bynum,71.3,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2,NA
Joe Hassett,71.0,2,1.6,1.4,0.9,0.5,0,NA,NA,NA
Todd Lichti,70.5,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA
Juan Dixon,70.3,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA,NA
Elston Turner,70.2,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,NA
Jerry Fleishman,67.6,2.2,2.1,1.6,1.3,0.6,NA,NA,NA,NA
