Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rudy Gay,,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5,NA,NA,NA,NA,NA,NA
Amir Johnson,94.1,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA,NA,NA,NA,NA
Purvis Short,93.3,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4,NA,NA,NA,NA,NA,NA,NA
Clarence Weatherspoon,91.2,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1,NA,NA,NA,NA,NA,NA
Joe Smith,90.5,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3,2.8,2.7,2.6,2.3,0.9,-0.1,NA,NA,NA
Nicolas Batum,90.1,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA
Thaddeus Young,89.8,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1,NA,NA,NA,NA,NA,NA,NA
Marvin Williams,88.7,7.8,6.1,5.7,5.7,5,5,4.9,4.3,4,3.8,2.9,2.8,2.3,2.3,NA,NA,NA,NA,NA
Juwan Howard,88.6,7,6,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,2.6,1.9,0.9,0.7,0.1,0,-0.3
Robert Horry,87.8,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.6,4.2,3.6,3.6,2.9,2.9,2.6,1.7,1.1,NA,NA,NA
Antonio Davis,87.7,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA,NA,NA,NA,NA
