Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ron Williams,,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0
Lester Conner,90.6,6.2,5.9,3.7,2.8,2.7,2.1,0.7,0.5
Craig Hodges,90.1,6,5.3,4.3,2.9,2.6,2.4,0.8,0.5
Phil Ford,90.0,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA
Vincent Askew,89.9,6,4.6,4.3,2.9,2.7,1.5,0.2,-0.2
Raja Bell,86.9,6.8,5.8,4.5,3.7,2.2,1.7,1.1,-0.1
Bob Weiss,86.7,5.6,4.7,4.3,3.6,2.9,1.7,0.1,0
Kentavious Caldwell-Pope,86.6,5.3,5.3,4.5,4,2.8,1.8,NA,NA
Eddie Miles,86.1,6,5.9,4,3.7,2.4,2,1.2,-0.9
Bonzi Wells,86.1,6,5.9,4,3.4,3.1,3.1,0.9,0.1
Quentin Richardson,85.7,5.8,5.6,3.5,3,2.4,1,0.7,0.3
