,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,SFW,NBA,,11,21,7,9,,,9,12,,,6,26
1969-70,25,SFW,NBA,,12,27,9,10,,,8,12,,,6,28
1970-71,26,SFW,NBA,,15,,12,13,,,,,,,,34
1971-72,27,GSW,NBA,,11,,8,8,,,,,,,,27
1972-73,28,GSW,NBA,,9,,5,6,,,,,,,,20
1973-74,29,MIL,NBA,,10,,6,7,,,,,,,,21
1974-75,30,MIL,NBA,,7,,7,8,,,7,8,,,,15
1975-76,31,LAL,NBA,,5,,4,4,,,,,,,,12
Career,,,,,15,,12,13,,,,,,,,34
5 Seasons,,"GSW,SFW",NBA,,15,,12,13,,,,,,,,34
2 Seasons,,MIL,NBA,,10,,7,8,,,,,,,,21
1 Season,,LAL,NBA,,5,,4,4,,,,,,,,12
