Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,SFW,NBA,PG,75,NA,1472,238,567,0.42,109,142,0.768,NA,NA,178,247,NA,NA,176,585
1969-70,25,SFW,NBA,PG,80,NA,2435,452,1046,0.432,277,337,0.822,NA,NA,190,424,NA,NA,287,1181
1970-71,26,SFW,NBA,PG,82,NA,2809,426,977,0.436,331,392,0.844,NA,NA,244,480,NA,NA,301,1183
1971-72,27,GSW,NBA,PG,80,NA,1932,291,614,0.474,195,234,0.833,NA,NA,147,308,NA,NA,232,777
1972-73,28,GSW,NBA,PG,73,NA,1016,180,409,0.44,75,83,0.904,NA,NA,81,114,NA,NA,108,435
1973-74,29,MIL,NBA,PG,71,NA,1130,192,393,0.489,60,68,0.882,19,50,69,153,49,2,114,444
1974-75,30,MIL,NBA,PG,46,NA,526,62,165,0.376,24,29,0.828,10,33,43,71,23,2,70,148
1975-76,31,LAL,NBA,PG,9,NA,158,17,43,0.395,10,13,0.769,2,17,19,21,3,0,15,44
Career,NA,,NBA,,516,NA,11478,1858,4214,0.441,1081,1298,0.833,31,100,971,1818,75,4,1303,4797
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"SFW,GSW",NBA,,390,NA,9664,1587,3613,0.439,987,1188,0.831,NA,NA,840,1573,NA,NA,1104,4161
2 seasons,NA,MIL,NBA,,117,NA,1656,254,558,0.455,84,97,0.866,29,83,112,224,72,4,184,592
1 season,NA,LAL,NBA,,9,NA,158,17,43,0.395,10,13,0.769,2,17,19,21,3,0,15,44
