Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1968-69,24,SFW,NBA,PG,75,1472,12.9,0.465,0.25,NA,NA,NA,24.1,NA,NA,NA,0.6,2,2.6,0.086,NA,NA,NA,NA,NA
1969-70,25,SFW,NBA,PG,80,2435,14.4,0.494,0.322,NA,NA,NA,24.5,NA,NA,NA,1.8,2.6,4.4,0.086,NA,NA,NA,NA,NA
1970-71,26,SFW,NBA,PG,82,2809,14.6,0.515,0.401,NA,NA,3.8,23.6,NA,NA,NA,3.9,2.2,6.1,0.104,NA,NA,NA,NA,NA
1971-72,27,GSW,NBA,PG,80,1932,13.9,0.542,0.381,NA,NA,3.4,21.8,NA,NA,NA,3.4,2.4,5.8,0.145,NA,NA,NA,NA,NA
1972-73,28,GSW,NBA,PG,73,1016,12.2,0.488,0.203,NA,NA,3.6,14.7,NA,NA,NA,0.8,1.1,1.9,0.088,NA,NA,NA,NA,NA
1973-74,29,MIL,NBA,PG,71,1130,13.1,0.525,0.173,1.8,4.2,3.1,17.5,2,0.1,NA,1.4,1.2,2.6,0.111,NA,-1.2,0.2,-1,0.3
1974-75,30,MIL,NBA,PG,46,526,9.2,0.416,0.176,2.1,6.3,4.3,17.9,2.1,0.2,NA,-0.4,0.4,0,0.001,NA,-4.3,-0.1,-4.3,-0.3
1975-76,31,LAL,NBA,PG,9,158,9.2,0.452,0.302,1.3,10,5.8,16.8,0.8,0,NA,0,0.1,0.1,0.023,NA,-3.1,-0.6,-3.7,-0.1
Career,NA,,NBA,,516,11478,13.5,0.501,0.308,1.8,5.3,3.7,21.8,1.9,0.1,NA,11.6,12,23.5,0.098,NA,-2.3,0.1,-2.2,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"SFW,GSW",NBA,,390,9664,13.9,0.503,0.329,NA,NA,3.6,22.6,NA,NA,NA,10.5,10.3,20.8,0.103,NA,NA,NA,NA,NA
2 seasons,NA,MIL,NBA,,117,1656,11.8,0.493,0.174,1.9,4.9,3.5,17.6,2,0.1,NA,1.1,1.6,2.6,0.076,NA,-2.2,0.1,-2,0
1 season,NA,LAL,NBA,,9,158,9.2,0.452,0.302,1.3,10,5.8,16.8,0.8,0,NA,0,0.1,0.1,0.023,NA,-3.1,-0.6,-3.7,-0.1
