,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,22,ATL,NBA,PF,20,215,,,,21%,79%,-20.1,-21.0,2,6,17,2,5,1,16,2,5
2014-15,23,ATL,NBA,PF,40,502,,,,65%,35%,+6.2,+0.4,3,8,26,5,10,3,59,3,8
2015-16,24,ATL,NBA,C,60,565,,,,5%,95%,-2.4,-7.1,14,8,46,3,11,4,79,3,2
2016-17,25,ATL,NBA,C,70,1237,,,,27%,73%,-4.2,-4.3,32,13,51,4,22,8,228,6,10
2017-18,26,ATL,NBA,C,53,1060,,,1%,47%,52%,-4.5,+1.9,15,12,46,10,17,0,129,5,10
2018-19,27,TOT,NBA,PF,64,1306,,,1%,63%,37%,+1.9,+1.7,26,8,71,8,22,8,186,5,10
2018-19,27,PHI,NBA,PF,47,1041,,,,59%,41%,+3.8,+1.2,21,8,62,8,19,8,150,5,9
2018-19,27,LAL,NBA,PF,17,265,,,3%,78%,19%,-5.3,-3.7,5,0,9,0,3,0,36,0,1
2019-20,28,OKC,NBA,C,41,492,,,,8%,92%,-1.9,-4.8,3,3,34,6,7,5,82,2,5
Career,,,NBA,,348,5377,,,,39%,61%,-2.0,-2.2,95,58,291,38,94,29,779,26,50
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,ATL,NBA,,243,3579,,,,34%,65%,-3.5,-3.2,66,47,186,24,65,16,511,19,35
1 season,,PHI,NBA,,47,1041,,,,59%,41%,+3.8,+1.2,21,8,62,8,19,8,150,5,9
1 season,,OKC,NBA,,41,492,,,,8%,92%,-1.9,-4.8,3,3,34,6,7,5,82,2,5
1 season,,LAL,NBA,,17,265,,,3%,78%,19%,-5.3,-3.7,5,0,9,0,3,0,36,0,1
