Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Muscala,,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Mark Landsberger,91.1,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Scott Padgett,90.8,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Don Ford,90.4,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
E.C. Coleman,90.0,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Al Tucker,89.7,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Lew Hitch,89.2,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Ron Behagen,87.4,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Lawrence Funderburke,87.3,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Chuck Cooper,86.2,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Mike Scott,85.2,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
