Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Muscala,,3.4,2.5,2.4,1.9,1.6,0.2
Mark Landsberger,92.7,3.4,2.2,2.2,1.9,1.7,0.4
Kevin Restani,91.6,3.5,2.6,2.2,2,1.8,0.5
Don Ford,91.4,3.5,2.8,2.5,2,1.5,0.6
E.C. Coleman,90.0,3.2,2.7,2.6,2.5,1.7,0.1
Fred Roberts,89.9,3,2.6,2,1.9,1.8,0.2
Charles Jones,89.7,3.2,2.8,2.2,2.2,1.6,0
Al Tucker,89.7,3.5,2.3,2.3,2.1,1.1,NA
Lew Hitch,89.2,3.3,2.7,2.2,2.2,1.2,NA
Sidney Green,88.0,3.4,2.7,2.5,2,0.6,0.3
Ron Behagen,87.8,4.3,2.4,2.2,2,1.8,0.2
