Season,Team,Lg,Salary
1984-85,Atlanta Hawks,NBA,"$105,000"
1985-86,Atlanta Hawks,NBA,"$170,000"
1986-87,Atlanta Hawks,NBA,"$450,000"
1987-88,Atlanta Hawks,NBA,"$450,000"
1988-89,Atlanta Hawks,NBA,"$475,000"
1990-91,Atlanta Hawks,NBA,"$895,000"
1991-92,Los Angeles Clippers,NBA,"$1,195,000"
1992-93,New York Knicks,NBA,"$895,000"
1993-94,New York Knicks,NBA,"$1,110,000"
1994-95,New York Knicks,NBA,"$1,405,000"
1994-95,San Antonio Spurs,NBA,"$109,750"
1995-96,San Antonio Spurs,NBA,"$1,150,000"
Career,(may be incomplete),,"$8,409,750"
