Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stan Love,,2.2,2.1,0.7,0.6,NA,NA
Ben Coleman,89.1,2,1.8,0.8,0.5,0,NA
Chuck Terry,88.0,2.3,2.1,1.2,0.7,0.1,NA
Alaa Abdelnaby,86.4,2.1,2,0.5,0.3,-0.1,NA
Bob Bedell,85.2,2.4,2.2,0.8,0.1,NA,NA
Bill Hewitt,82.8,2.4,1.7,0.8,0.6,-0.1,-0.2
Donnell Harvey,82.4,2,1.8,0.7,0.2,0.1,NA
Sam Pellom,81.1,2.2,1.8,0.7,0,NA,NA
Dave Sorenson,80.7,2.6,2.1,0.7,NA,NA,NA
Bob Brannum,79.4,2,1.6,1.1,0.8,0,NA
James Hardy,78.9,2.5,1.8,1.3,0.7,NA,NA
