Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Stan Love,,2.2,2.1,0.7,0.6
Shelden Williams,89.6,2.2,2,1.2,0.5
Ben Coleman,89.2,2,1.8,0.8,0.5
Mark Bryant,86.9,2.1,2.1,1.1,1
Togo Palazzi,85.4,2,1.6,0.8,0.6
Bob Bedell,85.2,2.4,2.2,0.8,0.1
Dorie Murrey,84.6,2.2,1.9,0.5,0.2
Don Kojis,81.3,1.9,1.5,0.7,0.7
Donnell Harvey,81.2,2,1.8,0.7,0.1
Pete Chilcutt,81.1,2.1,1.5,1,0.7
Sam Pellom,81.1,2.2,1.8,0.7,0
