,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,BAL,NBA,,11,,,,,,7,7,,,,,,,,,24
1972-73,23,BAL,NBA,,10,,,,,,8,8,,,,,,,,,28
1973-74,24,LAL,NBA,,8,18,,,,,7,10,,,12,6,,,,6,21
1974-75,25,LAL,NBA,,8,,,,,,6,8,,,,,,,,,18
1974-75,25,SAA,ABA,,3,,0,,,,2,2,,,,,,,,,8
Career,,,TOT,,11,,,,,,8,10,,,,,,,,,28
,,,NBA,,11,,,,,,8,10,,,,,,,,,28
,,,ABA,,3,,0,,,,2,2,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,BAL,NBA,,11,,,,,,8,8,,,,,,,,,28
2 Seasons,,LAL,NBA,,8,,,,,,7,10,,,,,,,,,21
1 Season,,SAA,ABA,,3,,0,,,,2,2,,,,,,,,,8
