Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2018-19,20,MIN,NBA,SG,74,1757,9.4,0.492,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,NA,-0.1,1.4,1.2,0.034,NA,-3.5,0.4,-3.1,-0.5
2019-20,21,MIN,NBA,SG,62,1547,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,NA,1,1.2,2.2,0.067,NA,-2.4,0,-2.4,-0.1
Career,NA,,NBA,,136,3304,10.4,0.52,0.407,0.39,4,11.8,7.8,7.8,2.2,1.5,12.4,15.3,NA,0.8,2.6,3.4,0.049,NA,-3,0.2,-2.7,-0.6
