Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dennis Awtrey,,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6,0.6,0
Randy Breuer,88.5,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0,NA
Felton Spencer,88.0,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.4,0.3,-0.1
Spencer Hawes,83.9,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA,NA
Mikki Moore,83.1,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.6,0.1,0.1,0.1
Dale Schlueter,82.9,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0,NA,NA
Bob Ferry,82.8,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA,NA
Ömer Aşık,80.6,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA,NA,NA,NA
Kevin Kunnert,80.0,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA,NA
Otto Moore,79.4,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA
Scot Pollard,79.1,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9,0.6,0.2,NA
