Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Thomas,,1.5,0.9,0.4,0.4,0,NA
Byron Houston,80.6,1.8,0.9,0.7,0.5,NA,NA
Jarell Martin,77.2,1.3,0.8,0.6,0.5,NA,NA
Stanley Johnson,77.0,1.8,0.6,0.5,0.4,NA,NA
Julian Wright,75.5,1.7,0.8,0.8,0.6,NA,NA
Yi Jianlian,75.3,1.3,0.7,0.7,0.4,0,NA
D.J. White,75.2,1.8,0.8,0.6,0.4,0.2,0
Hilton Armstrong,75.1,1.5,1.2,0.5,0.5,0.3,-0.1
Ben McDonald,74.6,1.3,0.7,0.3,0.2,NA,NA
Chris McNealy,74.3,1.6,0.8,0.2,NA,NA,NA
Chris Johnson,73.6,1.4,1.1,0.8,0.2,NA,NA
