Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,PTP,ABA,PG,78,3042,12.2,0.461,0.113,0.273,NA,NA,5.2,8.8,NA,NA,13.3,24.9,NA,1.6,2.3,3.9,0.061
1968-69,25,MNP,ABA,PG,66,2282,11.1,0.434,0.163,0.22,NA,NA,4.8,10.7,NA,NA,12.5,25.3,NA,-2.1,2.6,0.6,0.012
1969-70,26,PTP,ABA,SG,26,925,11,0.424,0.14,0.251,NA,NA,3.6,14.4,NA,NA,11.8,26.3,NA,-1.3,0.6,-0.7,-0.039
1970-71,27,TOT,ABA,SG-PG,88,2242,11.6,0.461,0.112,0.239,NA,NA,4.1,15.6,NA,NA,14.4,25.4,NA,-0.8,2.1,1.3,0.027
1970-71,27,PTC,ABA,PG,32,973,9.1,0.467,0.081,0.236,NA,NA,3.6,17,NA,NA,20.1,22.8,NA,-0.1,0.7,0.6,0.028
1970-71,27,MMP,ABA,SG,56,1269,13.5,0.457,0.13,0.241,NA,NA,4.5,14.5,NA,NA,10.6,27.4,NA,-0.7,1.4,0.7,0.027
1971-72,28,MMP,ABA,PG,82,2583,10,0.452,0.138,0.314,2.7,5.1,3.8,14.5,NA,NA,14,23.6,NA,-2,3.1,1.1,0.02
1972-73,29,TOT,ABA,PG,32,370,4.9,0.421,0.174,0.496,1.1,3.7,2.4,20.2,NA,NA,19.5,18.3,NA,-0.5,0.2,-0.3,-0.041
1972-73,29,MMT,ABA,PG,10,219,5.2,0.416,0.187,0.347,0.9,4.5,2.7,24.7,NA,NA,21.7,19.5,NA,-0.3,0.1,-0.2,-0.054
1972-73,29,UTS,ABA,PG,22,151,4.4,0.429,0.15,0.775,1.4,2.5,1.9,13.7,NA,NA,15.7,16.5,NA,-0.2,0.1,-0.1,-0.021
Career,NA,,ABA,,372,11444,11,0.449,0.133,0.266,2.5,5,4.4,12.6,NA,NA,13.5,24.7,NA,-5,10.8,5.7,0.024
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"PTP,MNP,PTC",ABA,,202,7222,11.3,0.448,0.13,0.248,NA,NA,4.7,11.2,NA,NA,13.7,24.9,NA,-1.9,6.1,4.2,0.028
3 seasons,NA,"MMP,MMT",ABA,,148,4071,10.8,0.453,0.137,0.289,2.5,5.1,4,15,NA,NA,13.2,24.6,NA,-3,4.6,1.6,0.019
1 season,NA,UTS,ABA,,22,151,4.4,0.429,0.15,0.775,1.4,2.5,1.9,13.7,NA,NA,15.7,16.5,NA,-0.2,0.1,-0.1,-0.021
