Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Charles Williams,,3.9,1.3,1.1,0.6,-0.3,-0.7,NA
Terry Dehere,72.0,5,1.2,1,0.5,0,-0.4,NA
Stan Stutz,71.8,3.9,1.7,1.1,NA,NA,NA,NA
Angelo Musi,71.7,3.5,1.3,1.1,NA,NA,NA,NA
Ronnie Lester,70.5,3.9,1.7,0.7,0.2,0,-0.2,NA
Tyus Edney,67.1,3.3,1.5,1.4,0.5,NA,NA,NA
Dan Dickau,62.5,3.5,1.5,0.4,0.4,0,0,NA
Jeffrey Congdon,62.3,4.3,0.9,0.7,0.3,0,NA,NA
Robert Smith,60.5,2.9,1.4,0.8,0.6,0,0,0
Roger Phegley,60.2,3.7,2.6,1.6,0.8,0,-0.1,NA
Al Butler,59.7,4.1,2.1,1.1,-0.3,NA,NA,NA
