,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,PTP,ABA,,16,,1,,,,8,10,,,,,,,,,35
1968-69,25,MNP,ABA,,11,,4,,,,7,11,,,,,,,,,31
1970-71,27,TOT,ABA,,10,,1,,,,5,7,,,,,,,,,24
1970-71,27,MMP,ABA,,10,,1,,,,5,7,,,,,,,,,24
1972-73,29,TOT,ABA,,1,,0,,,,0,0,,,,,,,,,2
1972-73,29,UTS,ABA,,1,,0,,,,0,0,,,,,,,,,2
Career,,,,,16,,4,,,,8,11,,,,,,,,,35
2 Seasons,,"MNP,PTP",ABA,,16,,4,,,,8,11,,,,,,,,,35
1 Season,,MMP,ABA,,10,,1,,,,5,7,,,,,,,,,24
1 Season,,UTS,ABA,,1,,0,,,,0,0,,,,,,,,,2
