Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tim Bassett,,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA
Lavoy Allen,91.1,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA
Don Ford,86.4,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA
Derrick Williams,86.2,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA
Etan Thomas,86.1,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Jon Leuer,85.7,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA
Lawrence Funderburke,84.9,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA
Scott Padgett,84.7,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA
Mike Muscala,84.5,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA,NA
Toby Kimball,83.5,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0
Chase Budinger,83.0,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA
