Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tim Bassett,,3.7,2.6,2.4,1.5,1.4,1.1,0.1
Lavoy Allen,91.1,3.7,2.8,2.5,1.7,1.6,1.5,NA
Etan Thomas,88.1,4.5,2.7,2.5,1.6,1.6,1.3,0.1
Matt Bullard,87.8,3.4,2.5,2.4,1.7,1,0.6,0.2
Don Ford,86.4,3.5,2.8,2.5,2,1.5,0.6,-0.1
Derrick Williams,86.2,3.6,3,2.6,2.1,1.8,1.1,0
Sidney Green,86.0,3.4,2.7,2.5,2,1.7,0.6,0.3
Brad Lohaus,86.0,3.3,2.7,2.7,1.8,0.9,0.9,0.1
Ed Manning,85.6,4.3,2.2,2.2,1.7,1.4,1.4,-0.3
Scott Padgett,85.2,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Lawrence Funderburke,84.9,3.7,3.1,2.1,1.9,1.6,0.5,0.1
