Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Simmie Hill,,3.1,1.6,1.2,1
Damien Wilkins,92.0,2.8,1.7,1,1
Jeremy Evans,90.2,2.8,1.6,0.9,0.9
Brady Walker,89.6,2.8,1.9,1.2,1
Bill Willoughby,89.4,3,1.2,1.1,0.9
Cristiano Felício,89.1,3.4,1.7,1.4,1.2
Danny Ferry,89.1,3.6,1.7,1.3,1
Brad Lohaus,89.1,3.3,1.8,0.9,0.9
Mark Madsen,87.6,2.7,1.9,1.1,1.1
Lorenzo Williams,86.9,3.1,1.7,1.1,0.3
Mark Alarie,86.2,3.1,2.2,1.5,0.9
