Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Simmie Hill,,3.1,1.6,1.2,1,NA,NA,NA
Brady Walker,89.6,2.8,1.9,1.2,1,NA,NA,NA
Cristiano Felício,89.1,3.4,1.7,1.4,1.2,NA,NA,NA
Darius Miller,84.9,3,1.6,0.8,0.5,-0.1,NA,NA
Sam Mack,84.2,2.8,1.9,1.3,1.1,0.3,0,-0.1
Joey Graham,83.9,3,2.2,1.3,1.1,0.3,0,NA
DerMarr Johnson,82.9,3.2,1.7,1.3,0.4,0.1,0,-0.3
John Trapp,82.9,3.3,1.2,1.2,0.6,0,NA,NA
Rory White,82.9,2.6,1.5,1,1,0.4,NA,NA
Noah Vonleh,82.6,3.2,1.8,1.6,1.2,0.5,NA,NA
James Singleton,81.8,3,2.3,1.1,1,0.7,NA,NA
