Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Riney Lochmann,,0.4,0.3,-0.2,NA
Justin Reed,83.3,0.4,0.3,-0.2,NA
Devin Ebanks,60.0,0.4,0.3,-0.1,NA
Gene James,58.7,0.5,0.3,0.1,NA
Josh Davis,56.8,0.5,0.3,0,0
Henry Ellenson,50.4,0.4,0.1,-0.2,NA
Anthony Cook,48.6,0.5,0.4,0.1,0.1
Eddie Mast,47.2,0.4,0.1,-0.2,NA
Alex Poythress,47.2,0.5,0.3,0.1,NA
Mark Randall,43.6,0.5,0.3,0.2,0
Quincy Lewis,40.7,0.3,0.3,0.1,0
