Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gene Littles,,7.7,4.8,4.2,3.6,1.6,1.4
Victor Oladipo,92.3,8.2,4.9,4,3.5,2.3,1.3
Sam Cassell,90.5,8.3,4.7,3.9,3.9,2.2,0.8
Travis Best,89.9,7.2,5.1,4.1,3.3,2.1,0.7
Dick Garmaker,89.2,7.5,4.7,4.6,4.4,3.1,1.3
Leandro Barbosa,88.5,8.2,5.5,5,3.8,1.9,1.8
Mike James,88.5,7.6,5.2,4.3,2.8,1.8,0
Butch Beard,87.1,7.6,5.9,5.6,3.7,2.2,1.5
Adrian Smith,86.9,6.1,5.1,4.4,3.4,1.9,1.8
Dave Twardzik,86.0,7.5,5.5,5.1,3,2.4,1.1
Jay Humphries,85.9,7.6,4.9,4.8,4.5,3.5,1.9
