,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,26,CAR,ABA,,14,,0,,,,10,13,,,,,,,,,32
1970-71,27,CAR,ABA,,12,,2,,,,8,9,,,,,,,,,30
1971-72,28,CAR,ABA,,13,,1,,,,10,11,,,,,,,,,34
1972-73,29,CAR,ABA,,9,,2,,,,7,11,,,,,,,,,22
1973-74,30,CAR,ABA,,9,,1,,,,7,8,,,,,,,,,21
1974-75,31,KEN,ABA,,6,,1,,,,5,8,,,,,,,,,13
Career,,,,,14,,2,,,,10,13,,,,,,,,,34
5 Seasons,,CAR,ABA,,14,,2,,,,10,13,,,,,,,,,34
1 Season,,KEN,ABA,,6,,1,,,,5,8,,,,,,,,,13
