Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Larry Costello,,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2
Ron Boone,91.7,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,1,0.4
Ricky Pierce,91.4,9.4,8.3,7.9,7.8,7.7,6.7,5.8,4,3,2.2,1.8,-0.1
Billy Knight,91.1,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4,NA
Walter Davis,90.1,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
Kevin Martin,90.1,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Baron Davis,90.0,8.9,8.7,8.2,7.5,6.4,4.5,4.5,4.4,4.4,2.8,2.1,0.6
Mike Bibby,89.8,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,2.1,1.3
Dale Ellis,89.8,10.8,9.3,9,7.6,6.4,6.4,4.8,3.4,3.2,2.4,1.6,1.5
Carl Braun,89.5,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.4
Jeff Mullins,88.5,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
