,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,23,PHW,NBA,,7,,5,5,,,4,16
1956-57,25,PHW,NBA,,7,13,8,10,,,6,19
1957-58,26,SYR,NBA,,12,,11,12,,,,33
1958-59,27,SYR,NBA,,11,,9,11,,,,29
1959-60,28,SYR,NBA,,12,,10,,,,,31
1960-61,29,SYR,NBA,,12,,10,,,,,32
1961-62,30,SYR,NBA,,13,,10,,,,,32
1962-63,31,SYR,NBA,,11,,10,,,,,30
1963-64,32,PHI,NBA,,9,,10,10,,,,24
1964-65,33,PHI,NBA,,10,20,8,9,9,11,6,25
1966-67,35,PHI,NBA,,6,,6,7,,,,16
1967-68,36,PHI,NBA,,7,10,8,10,5,4,5,15
Career,,,,,13,,11,,,,,33
10 Seasons,,"PHI,SYR",NBA,,13,,11,,,,,33
2 Seasons,,PHW,NBA,,7,,8,10,,,6,19
