Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1954-55,23,PHW,NBA,PG,19,463,10.5,0.385,0.23,NA,NA,NA,NA,NA,-0.2,0.4,0.2,0.022
1956-57,25,PHW,NBA,PG,72,2111,11.3,0.46,0.447,NA,NA,NA,NA,NA,2.1,1.3,3.4,0.077
1957-58,26,SYR,NBA,PG,72,2746,15.1,0.51,0.426,NA,NA,NA,NA,NA,6.4,2.9,9.2,0.162
1958-59,27,SYR,NBA,PG,70,2750,15,0.503,0.368,NA,NA,NA,NA,NA,5.5,3,8.5,0.149
1959-60,28,SYR,NBA,PG,71,2469,15.6,0.523,0.352,NA,NA,NA,NA,NA,5.4,2.6,8,0.156
1960-61,29,SYR,NBA,PG,75,2167,17.2,0.546,0.4,NA,NA,NA,NA,NA,6.3,2.3,8.6,0.19
1961-62,30,SYR,NBA,PG,63,1854,15.6,0.507,0.406,NA,NA,NA,NA,NA,3.3,2.6,5.9,0.153
1962-63,31,SYR,NBA,PG,78,2066,13.8,0.534,0.495,NA,NA,NA,NA,NA,3.6,2.1,5.7,0.132
1963-64,32,PHI,NBA,PG,45,1137,15.1,0.548,0.417,NA,NA,NA,NA,NA,2.8,0.7,3.5,0.147
1964-65,33,PHI,NBA,PG,64,1967,14,0.527,0.399,NA,NA,NA,19.3,NA,4.1,1.5,5.7,0.138
1966-67,35,PHI,NBA,PG,49,976,11.9,0.541,0.454,NA,NA,NA,16.5,NA,1.7,0.9,2.5,0.125
1967-68,36,PHI,NBA,PG,28,492,12.8,0.547,0.547,NA,NA,NA,16,NA,0.9,0.6,1.5,0.15
Career,NA,,NBA,,706,21198,14.5,0.517,0.409,NA,NA,NA,18.1,NA,41.8,20.9,62.7,0.142
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,"SYR,PHI",NBA,,615,18624,14.9,0.524,0.41,NA,NA,NA,18.1,NA,40,19.2,59.1,0.152
2 seasons,NA,PHW,NBA,,91,2574,11.2,0.445,0.399,NA,NA,NA,NA,NA,1.9,1.7,3.6,0.067
