,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,25,PHW,NBA,,2,4,0,1,3,2,2,4
1957-58,26,SYR,NBA,,4,13,8,8,9,7,3,16
1958-59,27,SYR,NBA,,8,,10,13,,,6,26
1959-60,28,SYR,NBA,,8,16,4,5,8,9,6,19
1960-61,29,SYR,NBA,,10,18,10,13,,11,6,28
1961-62,30,SYR,NBA,,7,15,10,11,6,10,5,23
1962-63,31,SYR,NBA,,6,,7,,,,6,19
1963-64,32,PHI,NBA,,1,7,5,5,1,,,7
1964-65,33,PHI,NBA,,5,9,3,5,4,6,6,11
1966-67,35,PHI,NBA,,4,6,3,3,3,2,2,11
Career,,,,,10,,10,,,,,28
9 Seasons,,"PHI,SYR",NBA,,10,,10,,,,,28
1 Season,,PHW,NBA,,2,4,0,1,3,2,2,4
