Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Brian Rowsom,,1.5,1,0,NA
Kevin Loder,92.2,1.5,0.9,0.1,NA
Dennis Wuycik,89.8,1.4,0.9,-0.1,NA
Derrick Alston,84.1,1.7,1,-0.1,NA
Lou Tsioropoulos,83.4,1.4,0.7,0,NA
Derrick Chievous,83.0,1.6,1.2,-0.1,NA
Adrian Branch,81.5,1.5,0.7,0,-0.1
Chris McNealy,80.1,1.6,0.8,0.2,NA
Mickaël Gelabale,79.4,1.5,1.3,0.2,NA
Ron Riley,77.2,1.6,0.7,0.2,0
Skal Labissière,76.5,1.4,1.3,0.3,NA
