Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
George Yardley,,12.3,10,9,7.6,7.5,6.8,5.3
Billy Cunningham,92.7,10.3,10,9,8.3,6.8,6.4,5
Terry Cummings,92.6,10.7,8.8,8.7,7.7,7.5,7.4,5.2
John Drew,92.3,10.6,8.9,8.9,7.9,7.1,6.4,5.4
Pau Gasol,92.2,12,8.5,8.4,8.1,7.6,6.9,6.8
Elvin Hayes,92.1,12.5,10.6,9.6,8.5,7.8,7.6,7.3
James Worthy,91.9,9.7,9.5,9.3,7.9,7.5,6.5,5.1
Dominique Wilkins,91.3,12.2,10.8,10.4,9.8,7.6,7,5.8
LaMarcus Aldridge,91.2,11.1,9.5,8.8,7.2,7,6.2,3.4
Buck Williams,91.0,11.4,8.9,7.9,7.7,7.6,7.3,6.8
Larry Johnson,90.8,10.1,9.6,8.9,8.5,7.7,6.9,3.9
