Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,25,FTW,NBA,SF,4,NA,26.8,4,8.3,0.485,2.5,3,0.833,6,0.8,2.5,10.5
1954-55,26,FTW,NBA,SF,11,NA,38.2,5.2,13,0.399,5.5,7.2,0.759,9,3.3,3.4,15.8
1955-56,27,FTW,NBA,SF,10,NA,40.6,7.7,18.3,0.421,7.6,9.8,0.776,13.9,2.6,2.5,23
1956-57,28,FTW,NBA,SF,2,NA,42.5,12,26.5,0.453,4.5,5.5,0.818,9.5,4,3.5,28.5
1957-58,29,DET,NBA,SF,7,NA,36.3,7.4,18.1,0.409,8.6,9.6,0.896,10.3,2.4,3.7,23.4
1958-59,30,SYR,NBA,SF,9,NA,37,9.2,21,0.439,6.7,7.8,0.857,9.7,2.3,3.2,25.1
1959-60,31,SYR,NBA,SF,3,NA,29.3,5,13,0.385,3.3,4,0.833,5.7,0.3,3,13.3
Career,NA,,NBA,,46,NA,36.8,7,16.7,0.422,6.2,7.6,0.817,9.9,2.4,3.1,20.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"FTW,DET",NBA,,34,NA,37.4,6.6,15.9,0.419,6.3,7.9,0.805,10.4,2.6,3.1,19.6
2 seasons,NA,SYR,NBA,,12,NA,35.1,8.2,19,0.43,5.8,6.8,0.854,8.7,1.8,3.2,22.2
