Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Zeke Zawoluk,,3.9,2.5,1.7
Glen Davis,96.0,3.7,2.5,1.6
Patrick Patterson,95.6,4.1,2.4,1.6
Bob Doll,95.1,4,2.8,1.8
Jae Crowder,95.0,3.9,2.3,1.5
Rodney Rogers,93.8,3.9,2.3,2
Francisco García,93.6,4.2,2.4,1.6
Paul Griffin,92.9,4.1,2.9,1.6
Ollie Johnson,92.4,4.1,2.6,2
Reggie Evans,92.2,3.8,3,1.7
Richaun Holmes,92.2,3.8,2.8,1.5
