Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Zeke Zawoluk,,3.9,2.5,1.7,NA,NA,NA,NA
Don Boven,90.5,3.8,2.2,1.5,NA,NA,NA,NA
Greg Kelser,87.4,3.9,2.5,1.4,0.8,0.1,0,NA
Dāvis Bertāns,86.9,4,3.1,2.3,NA,NA,NA,NA
Mike Sweetney,86.0,3.8,2.1,1.4,0.4,NA,NA,NA
Jaylen Brown,85.8,4.5,3,1.5,NA,NA,NA,NA
Sam Williams,84.7,3.7,2.7,2.6,-0.1,NA,NA,NA
Boštjan Nachbar,84.4,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Walter Berry,84.2,3.4,2.4,2.3,NA,NA,NA,NA
Kelly Oubre,83.7,3.7,2.2,2,0.4,NA,NA,NA
Ime Udoka,83.0,3.9,2.8,1.3,0.8,0,0,0
