Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Hummer,,3.2,1.6,1,0.1,-0.3,-0.8,NA
Darius Miller,73.2,3,1.6,0.8,0.5,-0.1,NA,NA
Mike Farmer,72.5,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Bill Turner,71.6,3.1,1.1,0.7,0.5,-0.2,-0.4,NA
Willie Reed,71.2,3.6,1.5,1.2,NA,NA,NA,NA
Sam Dekker,70.9,3.1,1.2,1,0,NA,NA,NA
Barney Cable,68.6,3.3,1.6,0.7,0.4,0.3,0.1,NA
Tommy Byrnes,68.3,4,1.7,0.9,0.3,-0.2,NA,NA
Sam Young,67.9,2.9,1.2,0.9,0.2,NA,NA,NA
Simmie Hill,66.2,3.1,1.6,1.2,1,NA,NA,NA
DerMarr Johnson,66.2,3.2,1.7,1.3,0.4,0.1,0,-0.3
