Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,25,TOT,NBA,PF,53,NA,1119,5.7,12,0.472,2.3,4.9,0.476,3.3,7.8,11.1,4.2,1.1,0.9,4.7,13.6,NA,NA,98
1973-74,25,CHI,NBA,PF,18,NA,186,5.7,11.3,0.5,3.4,6.9,0.5,3.2,5.9,9.1,3.2,0.7,0.2,7.4,14.8,NA,NA,96
1973-74,25,SEA,NBA,PF,35,NA,933,5.7,12.1,0.467,2.1,4.5,0.469,3.3,8.2,11.5,4.4,1.2,1,4.2,13.4,NA,NA,98
1974-75,26,SEA,NBA,PF,43,NA,568,3.3,8.7,0.38,1.1,4.1,0.275,2.2,6.1,8.3,3,0.6,0.6,5,7.7,NA,NA,100
1975-76,27,SEA,NBA,PF,29,NA,364,3.9,8.2,0.478,2.1,5,0.415,2.6,6.9,9.4,3.1,0.7,1.1,8.7,9.9,NA,NA,100
Career,NA,,NBA,,125,NA,2051,4.7,10.4,0.438,2,4.7,0.524,2.9,7.2,10.1,3.7,0.9,0.8,5.5,11.4,NA,NA,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,107,NA,1865,4.6,10.3,0.447,1.8,4.5,0.404,2.9,7.3,10.2,3.7,0.9,0.9,5.3,11,NA,NA,99
1 season,NA,CHI,NBA,,18,NA,186,5.7,11.3,0.5,3.4,6.9,0.5,3.2,5.9,9.1,3.2,0.7,0.2,7.4,14.8,NA,NA,96
3 seasons,NA,BUF,NBA,,0,NA,0,NA,NA,0.433,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
