Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Hummer,,3.2,1.6,1,0.1,-0.3,-0.8
Terry Teagle,85.1,3.1,1.3,0.7,0.2,-0.2,-0.8
Darko Miličić,77.9,3.3,1.9,1.2,0.2,-0.2,-0.2
Mike Farmer,76.3,3.2,1.8,1.3,0.1,-0.1,-0.1
DerMarr Johnson,74.6,3.2,1.7,1.3,0.4,0,-0.3
Darius Miller,73.2,3,1.6,0.8,0.5,-0.1,NA
Bill Turner,71.6,3.1,1.1,0.7,0.5,-0.2,-0.4
Willie Reed,71.2,3.6,1.5,1.2,NA,NA,NA
Sam Dekker,70.9,3.1,1.2,1,0,NA,NA
Barney Cable,68.6,3.3,1.6,0.7,0.4,0.3,0.1
Tommy Byrnes,68.3,4,1.7,0.9,0.3,-0.2,NA
