,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1970-71,22,BUF,NBA,,10,,10,13,,,,,,,,24
1971-72,23,BUF,NBA,,9,,4,9,,,,,,,,21
1972-73,24,BUF,NBA,,10,,10,13,,,,,,,,22
1973-74,25,TOT,NBA,,8,,4,10,,,,,,,,16
1973-74,25,CHI,NBA,,5,,3,4,,,,,,,,12
1973-74,25,SEA,NBA,,8,,4,10,,,,,,,,16
1974-75,26,SEA,NBA,,6,,3,6,,,,,,,,13
1975-76,27,SEA,NBA,,7,,3,5,,,,,,,,14
Career,,,,,10,,10,13,,,,,,,,24
3 Seasons,,BUF,NBA,,10,,10,13,,,,,,,,24
3 Seasons,,SEA,NBA,,8,,4,10,,,,,,,,16
1 Season,,CHI,NBA,,5,,3,4,,,,,,,,12
