Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jake Layman,,3.1,-0.1,-0.3,NA,NA
Don Lofgran,78.5,2.9,0.1,0.1,NA,NA
Giff Roux,57.8,3.4,0.8,-0.5,NA,NA
Eric Moreland,53.8,2.3,0,0,0,NA
Richard Dumas,52.6,3.9,0.3,0.3,NA,NA
J.J. Anderson,50.4,2.3,0.2,0.1,NA,NA
Dick Schulz,50.2,2.9,0.8,0.6,0,NA
Larry Spriggs,48.3,2.6,0.5,0.3,0.1,0
Tom Marshall,48.0,3.5,0.7,0.2,-0.3,NA
Archie Dees,47.3,3.7,0.7,0.4,NA,NA
Derrick Jones,47.1,2.9,1.1,0.4,NA,NA
