Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chuck Williams,,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA
Flynn Robinson,91.0,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA
Frankie Brian,87.0,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA,NA
Stu Lantz,86.3,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA,NA
Warren Jabali,85.4,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA
Kyle Macy,84.5,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA,NA
Fred Scolari,84.1,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA,NA,NA
Scott Skiles,83.7,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA
Ben Gordon,81.8,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Bill Melchionni,81.7,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
George King,81.5,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA,NA
