Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chuck Williams,,10,6.1,4.7,3.8,3.2,3,1.3,0.6
Flynn Robinson,91.0,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2
Mo Williams,88.8,9.8,6.7,4.5,3.2,2.5,2.2,1,0.2
Ron Harper,88.1,10.2,6,5.6,4.2,3.9,3.5,2.9,0.9
Wesley Person,87.3,10.3,6.9,5.2,4,3.8,3.7,2.6,1.2
Eric Snow,87.1,8.4,6.1,5.5,3.8,3.8,1.9,1.3,0.5
Frankie Brian,87.0,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA
Stu Lantz,86.3,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1
Fred Scolari,85.9,8.5,5.6,5.4,4.5,3.1,2.7,1.2,NA
Monta Ellis,85.4,9,6,4.6,4,2.6,1.3,0.5,0.2
Warren Jabali,85.4,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA
