Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,23,HSM,ABA,C,1,NA,6:00,2,4,0.5,0,0,NA,0,1,0,1,2,0,0,2,4
Career,NA,,ABA,,1,NA,6,2,4,0.5,0,0,NA,0,1,0,1,2,0,0,2,4
