Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,MMF,ABA,PF,77,NA,1984,305,656,0.465,0,4,0,305,652,0.468,0.465,321,450,0.713,223,328,551,73,NA,142,212,931
1969-70,23,MMF,ABA,PF,84,NA,3493,639,1320,0.484,1,6,0.167,638,1314,0.486,0.484,469,634,0.74,432,650,1082,129,NA,250,272,1748
1970-71,24,TOT,ABA,PF,84,NA,2151,425,851,0.499,2,9,0.222,423,842,0.502,0.501,241,331,0.728,286,349,635,97,NA,156,233,1093
1970-71,24,DNR,ABA,PF,54,NA,1623,339,694,0.488,0,5,0,339,689,0.492,0.488,192,257,0.747,213,275,488,66,NA,123,167,870
1970-71,24,INA,ABA,PF,30,NA,528,86,157,0.548,2,4,0.5,84,153,0.549,0.554,49,74,0.662,73,74,147,31,NA,33,66,223
1971-72,25,TOT,ABA,PF-C,69,NA,960,175,384,0.456,1,10,0.1,174,374,0.465,0.457,124,195,0.636,115,119,234,26,NA,56,96,475
1971-72,25,INA,ABA,C,27,NA,394,72,143,0.503,0,1,0,72,142,0.507,0.503,31,49,0.633,44,51,95,10,NA,20,39,175
1971-72,25,MMP,ABA,PF,42,NA,566,103,241,0.427,1,9,0.111,102,232,0.44,0.429,93,146,0.637,71,68,139,16,NA,36,57,300
Career,NA,,ABA,,314,NA,8588,1544,3211,0.481,4,29,0.138,1540,3182,0.484,0.481,1155,1610,0.717,1056,1446,2502,325,NA,604,813,4247
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,161,NA,5477,944,1976,0.478,1,10,0.1,943,1966,0.48,0.478,790,1084,0.729,655,978,1633,202,NA,392,484,2679
2 seasons,NA,INA,ABA,,57,NA,922,158,300,0.527,2,5,0.4,156,295,0.529,0.53,80,123,0.65,117,125,242,41,NA,53,105,398
1 season,NA,DNR,ABA,,54,NA,1623,339,694,0.488,0,5,0,339,689,0.492,0.488,192,257,0.747,213,275,488,66,NA,123,167,870
1 season,NA,MMP,ABA,,42,NA,566,103,241,0.427,1,9,0.111,102,232,0.44,0.429,93,146,0.637,71,68,139,16,NA,36,57,300
