Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,MMF,ABA,PF,77,NA,1984,5.5,11.9,0.465,0,0.1,0,5.5,11.8,0.468,5.8,8.2,0.713,4,6,10,1.3,NA,2.6,3.8,16.9
1969-70,23,MMF,ABA,PF,84,NA,3493,6.6,13.6,0.484,0,0.1,0.167,6.6,13.5,0.486,4.8,6.5,0.74,4.5,6.7,11.2,1.3,NA,2.6,2.8,18
1970-71,24,TOT,ABA,PF,84,NA,2151,7.1,14.2,0.499,0,0.2,0.222,7.1,14.1,0.502,4,5.5,0.728,4.8,5.8,10.6,1.6,NA,2.6,3.9,18.3
1970-71,24,DNR,ABA,PF,54,NA,1623,7.5,15.4,0.488,0,0.1,0,7.5,15.3,0.492,4.3,5.7,0.747,4.7,6.1,10.8,1.5,NA,2.7,3.7,19.3
1970-71,24,INA,ABA,PF,30,NA,528,5.9,10.7,0.548,0.1,0.3,0.5,5.7,10.4,0.549,3.3,5,0.662,5,5,10,2.1,NA,2.3,4.5,15.2
1971-72,25,TOT,ABA,PF-C,69,NA,960,6.6,14.4,0.456,0,0.4,0.1,6.5,14,0.465,4.6,7.3,0.636,4.3,4.5,8.8,1,NA,2.1,3.6,17.8
1971-72,25,INA,ABA,C,27,NA,394,6.6,13.1,0.503,0,0.1,0,6.6,13,0.507,2.8,4.5,0.633,4,4.7,8.7,0.9,NA,1.8,3.6,16
1971-72,25,MMP,ABA,PF,42,NA,566,6.6,15.3,0.427,0.1,0.6,0.111,6.5,14.8,0.44,5.9,9.3,0.637,4.5,4.3,8.8,1,NA,2.3,3.6,19.1
Career,NA,,ABA,,314,NA,8588,6.5,13.5,0.481,0,0.1,0.138,6.5,13.3,0.484,4.8,6.7,0.717,4.4,6.1,10.5,1.4,NA,2.5,3.4,17.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,161,NA,5477,6.2,13,0.478,0,0.1,0.1,6.2,12.9,0.48,5.2,7.1,0.729,4.3,6.4,10.7,1.3,NA,2.6,3.2,17.6
2 seasons,NA,INA,ABA,,57,NA,922,6.2,11.7,0.527,0.1,0.2,0.4,6.1,11.5,0.529,3.1,4.8,0.65,4.6,4.9,9.4,1.6,NA,2.1,4.1,15.5
1 season,NA,DNR,ABA,,54,NA,1623,7.5,15.4,0.488,0,0.1,0,7.5,15.3,0.492,4.3,5.7,0.747,4.7,6.1,10.8,1.5,NA,2.7,3.7,19.3
1 season,NA,MMP,ABA,,42,NA,566,6.6,15.3,0.427,0.1,0.6,0.111,6.5,14.8,0.44,5.9,9.3,0.637,4.5,4.3,8.8,1,NA,2.3,3.6,19.1
