Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Donald Sidle,,9.7,5.9,5.6,1.9
Sidney Wicks,96.5,9.7,5.6,5.6,2.3
Shawn Kemp,90.8,9.1,6.7,6.1,2.1
Danny Manning,90.1,9.8,5.3,5.2,0.7
Curtis Rowe,89.4,8.3,6.1,5.2,2.3
Johnny Norlander,87.9,9.7,5.8,4.2,0.6
Frank Ramsey,87.1,10,5.9,4,3.3
Reggie King,87.0,8.3,6.2,4.8,1.6
Chris Mullin,87.0,10.6,5.2,5.1,2.9
Mark Aguirre,86.4,9,7.2,6.9,1.9
Carlos Boozer,86.2,9.4,5.9,4.1,3.5
