,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,MMF,ABA,,11,,0,,,,13,16,,,,,,,,26
1969-70,23,MMF,ABA,,17,,1,,,,14,17,,,,,,,,39
1970-71,24,TOT,ABA,,12,,2,,,,9,11,,,,,,,,29
1970-71,24,DNR,ABA,,12,,0,,,,9,11,,,,,,,,29
1970-71,24,INA,ABA,,11,,2,,,,6,11,,,,,,,,28
1971-72,25,TOT,ABA,,8,,1,,,,7,14,,,,,,,,23
1971-72,25,INA,ABA,,8,,0,,,,6,8,,,,,,,,20
1971-72,25,MMP,ABA,,8,,1,,,,7,14,,,,,,,,23
Career,,,,,17,,2,,,,14,17,,,,,,,,39
2 Seasons,,MMF,ABA,,17,,1,,,,14,17,,,,,,,,39
2 Seasons,,INA,ABA,,11,,2,,,,6,11,,,,,,,,28
1 Season,,DNR,ABA,,12,,0,,,,9,11,,,,,,,,29
1 Season,,MMP,ABA,,8,,1,,,,7,14,,,,,,,,23
