Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Donald Sidle,,9.7,5.9,5.6,1.9,NA,NA
Johnny Norlander,87.3,9.7,5.8,4.2,0.6,0.2,NA
Montrezl Harrell,82.0,8.7,5.5,4.1,0.9,NA,NA
Leo Mogus,79.2,8,7.7,5,1.2,NA,NA
Joe Ingles,77.8,7.6,6,5,2.3,2.2,NA
John Shumate,77.7,7.7,6.5,6.3,3.5,0.5,NA
Doug Moe,76.8,9.4,5.2,4.8,4.3,1.8,NA
Clark Kellogg,76.7,7,6.8,6.1,0.9,0.1,NA
Otto Porter,76.1,9.4,8.1,5.6,3.2,2.7,0
Reggie King,75.7,8.3,6.2,4.8,3.4,1.6,0.5
Art Heyman,75.0,8.5,6.1,2.7,1.3,0.6,0
