Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,MMF,ABA,PF,77,1984,16.5,0.545,0.006,0.686,NA,NA,13,4.9,NA,14.3,18.1,NA,3.6,2,5.6,0.135
1969-70,23,MMF,ABA,PF,84,3493,19.4,0.547,0.005,0.48,NA,NA,14.1,5.2,NA,13.5,19,NA,6.7,3.1,9.7,0.134
1970-71,24,TOT,ABA,PF,84,2151,17.4,0.548,0.011,0.389,NA,NA,12.8,6.1,NA,13.5,19,NA,3.7,2.2,5.9,0.132
1970-71,24,DNR,ABA,PF,54,1623,17.9,0.539,0.007,0.37,NA,NA,12.9,5.5,NA,13.2,20,NA,2.6,1.6,4.2,0.124
1970-71,24,INA,ABA,PF,30,528,16.1,0.588,0.025,0.471,NA,NA,12.6,7.6,NA,14.8,15.8,NA,1.1,0.6,1.7,0.159
1971-72,25,TOT,ABA,PF-C,69,960,15.5,0.506,0.026,0.508,10.4,11.3,10.8,3.9,NA,10.7,20.4,NA,0.7,1.2,1.9,0.094
1971-72,25,INA,ABA,C,27,394,15.4,0.532,0.007,0.343,10.6,11.4,11,3.6,NA,10.8,18.1,NA,0.5,0.4,0.9,0.108
1971-72,25,MMP,ABA,PF,42,566,15.5,0.491,0.037,0.606,10.3,11.2,10.7,4.2,NA,10.5,22.1,NA,0.2,0.8,1,0.083
Career,NA,,ABA,,314,8588,17.8,0.542,0.009,0.501,10.4,11.3,13.1,5.2,NA,13.4,19,NA,14.7,8.5,23.1,0.129
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,161,5477,18.4,0.546,0.005,0.549,NA,NA,13.7,5.1,NA,13.8,18.7,NA,10.3,5.1,15.3,0.134
2 seasons,NA,INA,ABA,,57,922,15.8,0.562,0.017,0.41,10.6,11.4,11.9,5.9,NA,13,16.8,NA,1.6,1,2.6,0.137
1 season,NA,DNR,ABA,,54,1623,17.9,0.539,0.007,0.37,NA,NA,12.9,5.5,NA,13.2,20,NA,2.6,1.6,4.2,0.124
1 season,NA,MMP,ABA,,42,566,15.5,0.491,0.037,0.606,10.3,11.2,10.7,4.2,NA,10.5,22.1,NA,0.2,0.8,1,0.083
