Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,MMF,ABA,PF,12,340,18.8,0.568,0,0.513,NA,NA,13.1,6.8,NA,13.8,18.1,NA,0.8,0.3,1.1,0.156
1970-71,24,INA,ABA,PF,8,88,12,0.419,0.042,0.667,NA,NA,NA,6.1,NA,6.1,NA,NA,-0.1,0.1,0,0.017
Career,NA,,ABA,,20,428,17.4,0.542,0.007,0.539,NA,NA,13.1,6.6,NA,12.5,18.1,NA,0.7,0.4,1.1,0.127
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MMF,ABA,,12,340,18.8,0.568,0,0.513,NA,NA,13.1,6.8,NA,13.8,18.1,NA,0.8,0.3,1.1,0.156
1 season,NA,INA,ABA,,8,88,12,0.419,0.042,0.667,NA,NA,NA,6.1,NA,6.1,NA,NA,-0.1,0.1,0,0.017
