Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Robert Werdann,,0.2,0,-0.1
Chris Engler,54.1,0.2,0,0
Mouhamed Sene,41.3,0.2,0.2,0
Rich King,38.5,0.2,0.1,0
Ruben Boumtje-Boumtje,38.4,0.2,0,0
Joe Cooper,36.6,0.2,0.1,0
Keith Tower,14.6,0.1,0,0
Jawann Oldham,13.8,0.3,0,0
Coby Dietrick,13.7,0.3,0.1,0
Dan O'Sullivan,13.1,0.1,0.1,0
Tom Riker,9.6,0.2,0.2,0
