Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Carl Herrera,,4.6,2.1,2,0.5,0.1,0.1,-0.2,-0.3
Harold Pressley,88.6,4.8,2.3,2.2,0.7,NA,NA,NA,NA
Kyle Singler,84.4,4.4,2.3,2,1.1,0.3,0,NA,NA
Tony Jaros,83.0,4.4,2.2,1.3,0.6,NA,NA,NA,NA
Boštjan Nachbar,82.0,4.1,2.2,1.7,0.8,0.1,-0.1,NA,NA
Kelly Oubre,82.0,3.7,2.2,2,0.4,NA,NA,NA,NA
Larry Stewart,81.3,4.7,2.9,1.6,0.5,0.1,NA,NA,NA
Brian Cook,80.9,4.5,2,1.8,1.1,0.6,0.4,0,-0.2
Andy Johnson,79.7,4.6,1.8,1.3,0.3,NA,NA,NA,NA
Nemanja Bjelica,79.0,4.5,2.8,1.9,1.5,NA,NA,NA,NA
Mike Sweetney,76.7,3.8,2.1,1.4,0.4,NA,NA,NA,NA
