Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Chris Duhon,,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2
Matt Guokas,93.8,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5
Hubert Davis,91.7,5.6,4.8,4.2,3.4,2.5,2.2,1.6,1.2,0.1
Jodie Meeks,90.5,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.1
Bob Sura,90.4,5.2,4.9,4.6,4.1,1.8,1.6,0.7,0.4,0.1
Quinn Buckner,88.8,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3,0.5
Pooh Richardson,88.5,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2
Tyreke Evans,88.2,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7
Ricky Davis,87.6,5.7,5,4.4,4.2,3,2.8,1.1,0.2,0.2
Patty Mills,87.1,5.6,5.1,4.8,4.1,1.5,1.4,0.9,0.7,0
Patrick Beverley,86.8,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA
