Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Easy Parham,,0.3,0.1,0,NA
Alando Tucker,86.8,0.2,0.1,0,NA
Jordan Mickey,73.7,0.3,0.1,0.1,NA
Jackie Robinson,67.2,0.2,0.1,0,NA
Scooter McCray,63.7,0.3,0.1,0,NA
Chris McCullough,57.2,0.3,0.2,0.1,NA
Pops Mensah-Bonsu,53.3,0.3,0,0,0
Doug Edwards,49.5,0.2,0.1,0,NA
Bob Bigelow,49.2,0.4,0,0,0
Ken Durrett,42.2,0.5,0.1,0,0
Jarnell Stokes,40.6,0.5,0.1,0.1,NA
