Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,DET,NBA,SF,5,NA,31,11.4,17.9,0.636,6.5,6.5,1,1.6,3.2,4.9,1.6,1.6,1.6,NA,11.4,29.2,NA,NA,98
1975-76,28,SEA,NBA,SF,6,NA,215,5.1,12.2,0.414,2.3,3.8,0.611,4.2,3.8,8,1.7,1.5,0.2,NA,5.3,12.4,NA,NA,109
1977-78,30,POR,NBA,SF,3,NA,44,7.9,13.5,0.583,1.1,1.1,1,1.1,3.4,4.5,4.5,0,1.1,2.3,12.4,16.9,NA,113,106
Career,NA,,NBA,,14,NA,290,6.1,13,0.469,2.6,3.7,0.696,3.5,3.7,7.2,2.1,1.3,0.5,0.3,6.9,14.7,NA,113,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SEA,NBA,,6,NA,215,5.1,12.2,0.414,2.3,3.8,0.611,4.2,3.8,8,1.7,1.5,0.2,NA,5.3,12.4,NA,NA,109
1 season,NA,DET,NBA,,5,NA,31,11.4,17.9,0.636,6.5,6.5,1,1.6,3.2,4.9,1.6,1.6,1.6,NA,11.4,29.2,NA,NA,98
1 season,NA,POR,NBA,,3,NA,44,7.9,13.5,0.583,1.1,1.1,1,1.1,3.4,4.5,4.5,0,1.1,2.3,12.4,16.9,NA,113,106
