Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Willie Norwood,,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA
Glen Gondrezick,90.7,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA,NA
Craig Smith,90.1,3.9,3.5,3.1,3,1.5,1,NA,NA,NA
Maurice Harkless,87.9,4.2,3.4,3.2,2.9,2.8,2.4,0.3,NA,NA
Andray Blatche,87.7,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Kenny Gattison,86.7,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0
Jumaine Jones,86.5,3.7,3.3,3,2.9,2.3,0.1,0,-0.2,NA
Dave Stallworth,86.5,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA
Nick Weatherspoon,85.9,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA
Howard Porter,85.7,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA
Terrence Ross,85.5,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA
