Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Willie Norwood,,3.8,3.5,3.3,3,2.6,1.1,0.5
Glen Gondrezick,90.7,3.6,3.1,3.1,2.7,2.5,0.9,NA
Craig Smith,90.1,3.9,3.5,3.1,3,1.5,1,NA
Al-Farouq Aminu,89.9,4,3.3,3.1,3.1,1.9,1.4,0.7
Wilson Chandler,88.4,3.9,3.1,3.1,3.1,2.7,0.5,-0.1
Tom McMillen,88.4,3.9,3.7,2.9,2.9,2.5,2.2,0.8
Ronny Turiaf,88.3,4.2,3.6,3.2,3.1,1.4,0.8,0.4
Maurice Harkless,87.9,4.2,3.4,3.2,2.9,2.8,2.4,0.3
Jumaine Jones,87.4,3.7,3.3,3,2.9,2.3,0.1,0
Dave Stallworth,86.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1
Ron Anderson,86.1,4.4,4.1,3.8,3.1,2.5,1.5,0.3
